"Report Written:","Sunday, June 27, 2021"
"Project Path:","C:\Users\Hakan\Documents\DesignSpark PCB 9.0\Examples\PriusHVConnector\PriusHVConnector.prj"
"Design Path:","C:\Users\Hakan\Documents\DesignSpark PCB 9.0\Examples\PriusHVConnector\PriusHVConnector.pcb"
"Design Title:",
"Created:","09/05/2021 16:51:54"
"Last Saved:","26/06/2021 17:14:36"
"Editing Time:","3615 min"
"Units:","mm (precision 1)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"J2","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J3","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J4","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J5","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J6","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J7","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J9","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J11","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J12","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J14","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J17","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J18","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J19","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J20","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J22","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J23","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J25","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J26","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J27","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J28","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J29","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J31","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J34","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J35","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J36","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J37","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J38","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J39","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J40","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J41","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J43","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J44","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J45","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J46","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J47","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J50","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J52","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J53","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J54","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J58","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
"J59","1","897-0736","","SHDR2W100P0X500_1X2_1060X760X1","RS Components","897-0736","","","5mm Low Profile Terminal Block"
